fullName_E;sdnType_E;program_E;city_E;country_E
AL-HARAMAIN : THE NETHERLANDS BRANCH;Entity;SDGT;Amsterdam;Netherlands
CASA APOLLO;Entity;SDGT;Ciudad del Este;Paraguay
BARAKAT IMPORT EXPORT LTDA;Entity;SDGT;Iquique;Chile
A.W.A. ENGINEERING LIMITED;Entity;IRAQ2;London;United Kingdom
ADMINCHECK LIMITED;Entity;IRAQ2;London;United Kingdom
ADVANCED ELECTRONICS DEVELOPMENT, LTD;Entity;IRAQ2;London;United Kingdom
AL-ARABI TRADING COMPANY LIMITED;Entity;IRAQ2;Baghdad District 929;Iraq
AMD CO. LTD AGENCY;Entity;IRAQ2;Baghdad;Iraq
ARAB PETROLEUM ENGINEERING COMPANY LTD;Entity;IRAQ2;Amman;Jordan
ARAB PROJECTS COMPANY S.A. LTD.;Entity;IRAQ2;Amman;Jordan
ARCHI CENTRE I.C.E. LIMITED;Entity;IRAQ2;London;United Kingdom
ARCHICONSULT LIMITED;Entity;IRAQ2;London 5;United Kingdom
ASSOCIATED ENGINEERS;Entity;IRAQ2;NULL;United Kingdom
ATLAS AIR CONDITIONING COMPANY LIMITED;Entity;IRAQ2;London;United Kingdom
ATLAS EQUIPMENT COMPANY LIMITED;Entity;IRAQ2;London;United Kingdom
BAROON SHIPPING COMPANY LIMITED;Entity;IRAQ2;Gibraltar;United Kingdom
DURAND PROPERTIES LIMITED;Entity;IRAQ2;Gibraltar;United Kingdom
ENDSHIRE EXPORT MARKETING;Entity;IRAQ2;NULL;United Kingdom
FALCON SYSTEMS;Entity;IRAQ2;NULL;United Kingdom
FARTRADE HOLDINGS S.A.;Entity;IRAQ2;NULL;Switzerland
H & H METALFORM GMBH;Entity;IRAQ2;Drensteinfurt;Germany
HELFORD DIRECTORS LIMITED;Entity;IRAQ2;Gibraltar;United Kingdom
I.P.C. INTERNATIONAL LIMITED;Entity;IRAQ2;NULL;United Kingdom
I.P.C. MARKETING LIMITED;Entity;IRAQ2;NULL;United Kingdom
INVESTACAST PRECISION CASTINGS, LTD.;Entity;IRAQ2;London;United Kingdom
IRAQI ALLIED SERVICES LIMITED;Entity;IRAQ2;NULL;United Kingdom
IRAQI FREIGHT SERVICES LIMITED;Entity;IRAQ2;NULL;United Kingdom
IRAQI TRADE CENTER;Entity;IRAQ2;Dubai;United Arab Emirates
JARACO S.A.;Entity;IRAQ2;Geneva;Switzerland
KEENCLOUD LIMITED;Entity;IRAQ2;London;United Kingdom
MEED INTERNATIONAL LIMITED;Entity;IRAQ2;London;United Kingdom
ORIENT SHIPPING LIMITED;Entity;IRAQ2;Kingstowne;Saint Vincent and the Grenadines
PANDORA SHIPPING CO. S.A.;Entity;IRAQ2;NULL;Honduras
PETRA NAVIGATION & INTERNATIONAL TRADING CO. LTD.;Entity;IRAQ2;Baghdad;Iraq
RAJBROOK LIMITED;Entity;IRAQ2;NULL;United Kingdom
REYNOLDS AND WILSON, LTD.;Entity;IRAQ2;Surrey;United Kingdom
T N K FABRICS LIMITED;Entity;IRAQ2;NULL;United Kingdom
T.E.G. LIMITED;Entity;IRAQ2;London;United Kingdom
T.M.G. ENGINEERING LIMITED;Entity;IRAQ2;London;United Kingdom
TARIQ ABU SHANAB EST. FOR TRADE & COMMERCE;Entity;IRAQ2;Zarka;Jordan
TECHNOLOGY AND DEVELOPMENT GROUP LTD;Entity;IRAQ2;London;United Kingdom
TIGRIS TRADING, INC.;Entity;IRAQ2;London;United Kingdom
TRADING & MARITIME INVESTMENTS;Entity;IRAQ2;San Lorenzo;Honduras
U.I. INTERNATIONAL;Entity;IRAQ2;NULL;United Kingdom
WHALE SHIPPING LTD.;Entity;IRAQ2;Basrah;Iraq
A.T.E. INTERNATIONAL LTD.;Entity;IRAQ2;London;United Kingdom
BLOTO INTERNATIONAL COMPANY;Entity;IRAQ2;NULL;Iraq
MELFI MARINE CORPORATION S.A.;Entity;CUBA;Habana;Cuba
AL-HARAMAIN FOUNDATION : COMOROS ISLANDS;Entity;SDGT;Moroni;Comoros
ISLAMIC AFRICAN RELIEF AGENCY;Entity;SDGT;Columbia;United States
INTERCONTINENTAL DE AVIACION S.A.;Entity;SDNT;Bogota;Colombia
ACCIRENT S.A.;Entity;SDNT;Bogota;Colombia
AEROCOMERCIAL ALAS DE COLOMBIA LTDA.;Entity;SDNT;Bogota;Colombia
AEROVIAS ATLANTICO LTDA.;Entity;SDNT;Barranquilla Atlantico;Colombia
ASOCIACION TURISTICA INTERNACIONAL S.C.S.;Entity;SDNT;Bogota;Colombia
